ID,site name,latitude,longitude,country
at_tirol_leutasch,"AT Tirol Leutasch",47.378870,11.165581,"Austria"
at_tirol_leutasch_2,"AT Tirol Leutasch",47.378036,11.162780,"Austria"
at_tirol_neustiftstubai_valley,"AT Tirol Neustift Stubai Valley",47.116200,11.320350,"Austria"
at_tirol_rotholz,"AT Tirol Rotholz",47.394722,11.804722,"Austria"
at_tirol_schlitters,"AT Tirol Schlitters",47.368200,11.856170,"Austria"
at_tirol_stubai_abandoned,"AT Tirol Stubai Abandoned",47.125280,11.289440,"Austria"
at_tirol_stubai_meadow,"AT Tirol Stubai Meadow",47.128890,11.305830,"Austria"
at_tirol_stubai_pasture,"AT Tirol Stubai Pasture",47.136940,11.303610,"Austria"
at_tirol_stubai_valley,"AT Tirol Stubai Valley",47.116667,11.283333,"Austria"
at_tyrol_fuegen,"AT Tyrol Fuegen",47.367374,11.854709,"Austria"
at_tyrol_mieming,"AT Tyrol Mieming",47.316564,10.970089,"Austria"
at_tyrol_scharnitz,"AT Tyrol Scharnitz",47.387291,11.247935,"Austria"
at_vienna_arsenal,"AT Vienna Arsenal",48.181838,16.390851,"Austria"
at_wien_vienna_boku,"AT Wien Vienna BOKU",48.237860,16.331610,"Austria"
au_australiancapitalterritory_canberra,"AU Australian Capital Territory Canberra",-35.271300,149.111100,"Australia"
au_newsouthwales_australia_yanco_site,"AU New South Wales Yanco site",-34.988282,146.291606,"Australia"
au_newsouthwales_coleambally,"AU New South Wales Coleambally",-34.810100,146.064400,"Australia"
au_newsouthwales_coleambally_irrigation_rice,"AU New South Wales Coleambally Irrigation Rice",-34.925200,145.821200,"Australia"
au_newsouthwales_cumberland_plains,"AU New South Wales Cumberland Plains",-33.613300,150.722500,"Australia"
au_newsouthwales_cumberland_plains_2,"AU New South Wales Cumberland Plains",-33.615200,150.723600,"Australia"
au_newsouthwales_fowlers_gap,"AU New South Wales Fowlers Gap",-31.086300,141.700820,"Australia"
au_newsouthwales_janina,"AU New South Wales Janina",-30.076667,144.136389,"Australia"
au_newsouthwales_newcastle,"AU New South Wales Newcastle",-32.884200,151.728900,"Australia"
au_newsouthwales_nimmo,"AU New South Wales Nimmo",-36.215833,148.552778,"Australia"
au_newsouthwales_tumbarumba,"AU New South Wales Tumbarumba",-35.655556,148.151944,"Australia"
au_newsouthwales_tumbarumba_2,"AU New South Wales Tumbarumba",-35.656600,148.151700,"Australia"
au_newsouthwales_tumbarumba_aeronet,"AU New South Wales Tumbarumba",-35.708300,147.949900,"Australia"
au_newsouthwales_uardry,"AU New South Wales Uardry",-34.390000,145.300000,"Australia"
au_newsouthwales_yarramundi_control_paddock,"AU New South Wales Yarramundi Control Paddock",-33.613469,150.734864,"Australia"
au_newsouthwales_yarramundi_irrigated_paddock,"AU New South Wales Yarramundi Irrigated Paddock",-33.620812,150.763284,"Australia"
au_northernterritory_adelaide_river,"AU Northern Territory Adelaide River",-13.076900,131.117800,"Australia"
au_northernterritory_alice_springs,"AU Northern Territory Alice Springs",-22.283000,133.249000,"Australia"
au_northernterritory_daly_river_cleared,"AU Northern Territory Daly River Cleared",-14.134283,131.384514,"Australia"
au_northernterritory_daly_river_cleared_1,"AU Northern Territory Daly River Cleared",-14.159300,131.388100,"Australia"
au_northernterritory_daly_river_savanna,"AU Northern Territory Daly River Savanna",-14.063300,131.318100,"Australia"
au_northernterritory_dry_river,"AU Northern Territory Dry River",-15.258800,132.370600,"Australia"
au_northernterritory_fogg_dam,"AU Northern Territory Fogg Dam",-12.542533,131.306883,"Australia"
au_northernterritory_fogg_dam_2,"AU Northern Territory Fogg Dam",-12.545200,131.307200,"Australia"
au_northernterritory_howard_springs,"AU Northern Territory Howard Springs",-12.824444,131.023056,"Australia"
au_northernterritory_howard_springs_2,"AU Northern Territory Howard Springs 2",-12.494300,131.152300,"Australia"
au_northernterritory_jabiru,"AU Northern Territory Jabiru",-12.660700,132.893100,"Australia"
au_northernterritory_litchfield,"AU Northern Territory Litchfield",-13.179042,130.794546,"Australia"
au_northernterritory_red_dirt_melon_farm,"AU Northern Territory Red Dirt Melon Farm",-14.563600,132.477600,"Australia"
au_northernterritory_sturt_plains,"AU Northern Territory Sturt Plains",-17.150800,133.350300,"Australia"
au_northernterritory_ti_tree_east,"AU Northern Territory Ti Tree East",-22.287000,133.640000,"Australia"
au_qld_lucinda,"AU QLD Lucinda",-18.519800,146.386100,"Australia"
au_queensland_birdsville,"AU Queensland Birdsville",-25.898930,139.345960,"Australia"
au_queensland_brisbane_uni_of_qld,"AU Queensland Brisbane University of Queensland",-27.497083,153.013611,"Australia"
au_queensland_cape_tribulation,"AU Queensland Cape Tribulation",-16.105556,145.377778,"Australia"
au_queensland_cow_bay,"AU Queensland Cow Bay",-16.103117,145.446917,"Australia"
au_queensland_daintree,"AU Queensland Daintree",-16.238190,145.427151,"Australia"
au_queensland_emerald_queensland_australia,"AU Queensland Emerald",-23.858700,148.474600,"Australia"
au_queensland_fletcherview_tropical_rangeland,"AU Queensland Fletcherview Tropical Rangeland",-19.887285,146.189138,"Australia"
au_queensland_longreach,"AU Queensland Longreach",-23.523231,144.310333,"Australia"
au_queensland_robson_creek_queensland_australia,"AU Queensland Robson Creek",-17.117500,145.630100,"Australia"
au_queensland_samford,"AU Queensland Samford",-27.388056,152.877778,"Australia"
au_queensland_virginia_park,"AU Queensland Virginia Park",-19.883333,146.553889,"Australia"
au_southaustralia_adelaide_site_7,"AU South Australia Adelaide Site 7",-34.725067,138.656483,"Australia"
au_southaustralia_calperum,"AU South Australia Calperum",-34.002717,140.587683,"Australia"
au_southaustralia_calperum_2,"AU South Australia Calperum",-34.002100,140.589100,"Australia"
au_southaustralia_loxton,"AU South Australia Loxton",-34.470400,140.655100,"Australia"
au_southaustralia_tinga_tingana,"AU South Australia Tinga Tingana",-28.975833,139.990933,"Australia"
au_tasmania_silver_plains,"AU Tasmania Silver Plains",-42.090300,147.088000,"Australia"
au_tasmania_warra,"AU Tasmania Warra",-43.095017,146.654517,"Australia"
au_unknown1_arm_macquarie_is,"AU ARM Macquarie Is",-54.499561,158.934581,"Australia"
au_victoria_alipine_peatland,"AU Victoria Alpine Peatland",-36.860700,147.320800,"Australia"
au_victoria_dargo,"AU Victoria Dargo",-37.133333,147.170833,"Australia"
au_victoria_falls_creek,"AU Victoria Falls Creek",-36.866867,147.345767,"Australia"
au_victoria_french_island,"AU Victoria French Island",-38.387900,145.278300,"Australia"
au_victoria_gatum_pasture,"AU Victoria Gatum Pasture",-37.390300,141.971600,"Australia"
au_victoria_melbourne_preston,"AU Victoria Melbourne Preston",-37.730564,145.014675,"Australia"
au_victoria_otway,"AU Victoria Otway",-38.532344,142.816806,"Australia"
au_victoria_riggs_creek,"AU Victoria Riggs Creek",-36.649900,145.575900,"Australia"
au_victoria_rushworth_creek,"AU Victoria Rushworth Creek",-36.753075,144.966306,"Australia"
au_victoria_wallaby_creek,"AU Victoria Wallaby Creek",-37.416667,145.183333,"Australia"
au_victoria_wallaby_creek_2,"AU Victoria Wallaby Creek",-37.425900,145.187800,"Australia"
au_victoria_watts_creek,"AU Victoria Watts Creek",-37.689498,145.684708,"Australia"
au_victoria_whroo,"AU Victoria Whroo",-36.673200,145.029400,"Australia"
au_victoria_wombat,"AU Victoria Wombat",-37.422222,144.094444,"Australia"
au_victoria_zigzag_creek,"AU Victoria Zigzag Creek",-37.473818,148.338558,"Australia"
au_westernaustralia_boyagin,"AU Western Australia Boyagin",-32.477093,116.938559,"Australia"
au_westernaustralia_collie,"AU Western Australia Collie",-33.420000,116.237000,"Australia"
au_westernaustralia_gnangara,"AU Western Australia Gnangara",-31.376389,115.713889,"Australia"
au_westernaustralia_great_western_woodlands,"AU Western Australia Great Western Woodlands",-30.191300,120.654100,"Australia"
au_westernaustralia_hamersley,"AU Western Australia Hamersley",-22.298056,117.694167,"Australia"
au_westernaustralia_lake_argyle,"AU Western Australia Lake Argyle",-16.108100,128.748500,"Australia"
au_westernaustralia_lake_lefroy,"AU Western Australia  Lake Lefroy",-31.255000,121.705000,"Australia"
au_westernaustralia_learmonth,"AU Western Australia  Learmonth",-22.240700,114.096700,"Australia"
au_westernaustralia_merredin,"AU Western Australia Merredin",-31.493056,118.226389,"Australia"
au_westernaustralia_milyering,"AU Western Australia Milyering",-22.029190,113.923080,"Australia"
au_westernaustralia_perth,"AU Western Australia Perth",-32.008056,115.893611,"Australia"
au_westernaustralia_ridgefield,"AU Western Australia Ridgefield",-32.506102,116.966827,"Australia"
au_westernaustralia_rottnest_island,"AU Western Australia Rottnest Island",-32.000103,115.501667,"Australia"
bb_saintmichael_barbados_saltrace,"BB Saint Michael Barbados SALTRACE",13.148513,-59.624839,"Barbados"
bb_saintphilip_ragged_point,"BB Saint Philip Ragged Point",13.165018,-59.432035,"Barbados"
bb_saintthomas_barbados,"BB Saint Thomas Barbados",13.150111,-59.616661,"Barbados"
bd_aligaon_bhola,"BD Aligaon Bhola",22.226680,90.756420,"Bangladesh"
bd_dhaka_dhaka_university,"BD Dhaka University",23.728390,90.398190,"Bangladesh"
bd_dhaka_mymensingh,"BD Dhaka Mymensingh",24.725278,90.040833,"Bangladesh"
bd_dhaka_mymensingh_flux_study_site,"BD Dhaka Mymensingh Flux Study Site",24.739348,90.426292,"Bangladesh"
be_antwerp_westmalle_1,"BE Antwerp Westmalle 1",51.296433,4.657248,"Belgium"
be_antwerp_westmalle_2,"BE Antwerp Westmalle 2",51.297470,4.662438,"Belgium"
be_bastogne_vielsalm,"BE Bastogne Vielsalm",50.304933,5.998115,"Belgium"
be_eastflanders_lochristi,"BE East Flanders Lochristi",51.112180,3.850430,"Belgium"
be_thornton_c_power,"BE Thornton C power",51.532500,2.955278,"Belgium"
be_uccle_brussels,"BE Uccle Brussels",50.783330,4.350000,"Belgium"
be_verviers_la_robinette_jalhay,"BE Verviers La Robinette Jalhay",50.563889,6.073333,"Belgium"
